구분,검색어,유사어,
수정,0X1,"0X1,LOVESONG ",
수정,2LSON ,"2LSON,투엘슨",
수정,5 Seconds Of Summer ," 5 Seconds Of Summer,5SecondsOfSummer,5 세컨즈 오브 서머,5세컨즈오브서머,five second of summer,파이브 세컨즈 오브 썸머",
수정,6LACK ," 6LACK,블랙,식스랙,식스렉,Black",
수정,A.M. ," A.M.,에이엠",
수정,ABNEW ," ABNEW,에비뉴",
수정,Adam Lambert ," Adam Lambert,AdamLambert,아담 램버트,아담램버트",
수정,Alan Walker ," Alan Walker,AlanWalker,알렌 워커,알렌워커",
수정,APOKI ," APOKI,아보키,아뽀끼,아뽀키,아포키",
수정,Arin Ray ," Arin Ray,ArinRay,애린 레이,애린 래이,에린 레이,에린 래이,아린 레이",
수정,ayokay ," ayokay,에이요케이,아요케이",
수정,Bbno$ ," Bbno$,bbnos,비비노스,베이비노머니,베이비 노 머니",
수정,BDC ," BDC,비디씨,보이즈 다 카포,BOYS DA CAPO",
수정,Billie Eilish ," Billie Eilish,BillieEilish빌리 아일리시",
수정,Bruno Martini ," Bruno Martini, BrunoMartini,브루노 마티니,브루노 마르티노",
수정,CA$H KiD ," CA$H KiD,cashe kid,CASHKiD,캐시키드,캐쉬키드",
수정,Carly Rae Jepsen ," Carly Rae Jepsen,CarlyRaeJepsen,칼리 래 젭슨,칼리 레 젭슨,칼리 래 잽슨,칼리 레 잽슨,칼리 레이 젭슨,칼리 래이 젭슨,칼리 레이 잽슨,칼리 래이 잽슨,칼리 래 젭슨,칼리 레이 젭슨",
수정,Charli XCX ," Charli XCX,CharliXCX,찰리 XCX,찰리XCX,찰리 엑스씨엑스",
수정,Cheat Codes ," Cheat Codes,CheatCodes,치트코즈,치트 코즈,치트코드",
수정,Christoph Eschenbach ," Christoph Eschenbach,ChristophEschenbach,크리스토프 에센바흐,크리스토프에센바흐",
수정,Ciara ," Ciara,시에라,시애라,시아라",
수정,Control ," Control,컨트롤,콘트롤",
수정,Coral J ," Coral J,CoralJ,코럴 제이,코럴제이,코랄 제이",
수정,Daya ," Daya,데이어,대이야,데이야,데이야",
수정,Dimitri Vegas & Like Mike ," Dimitri Vegas & Like Mike,드미트리 베가스 앤드 라이크 마이크.드미트리 베가스 앤 라이크 마이크",
수정,Georgia Ku ," Georgia Ku,GeorgiaKu,조지아 쿠",
수정,ILLENIUM ," ILLENIUM,일레니움,일레니엄",
수정,Isaac Dunbar ," Isaac Dunbar,IsaacDunbar,아이작 던바,아이작던바,이삭 던바,이삭던바",
수정,It's ," It's,잇츠",
수정,J.Yung ," J.Yung,JYung,제이 영,제이영,임영재",
수정,Ja Mezz ," Ja Mezz,자 메즈,자메즈",
수정,Jasmine Thompson ," Jasmine Thompson,JasmineThompson,재스민 톰슨,재스민톰슨,제스민 톰슨,자스민 톰슨",
수정,JJ Project ," JJ Project,JJProject,JJ 프로젝트,JJ프로젝트,제이제이 프로젝트",
수정,JP Saxe ," JP Saxe,JPSaxe,JP색스,JP삭스,제이피 색스",
수정,JUNNY ," JUNNY,주니,쥬니",
수정,Karol G ," Karol G,KarolG,카롤 지,카롤지",
수정,Keith Urban ," Keith Urban,KeithUrban,키스 어번,키스어번,키이스 어반",
수정,LANY ," LANY,레이니",
수정,Lea Michele ," Lea Michele,LeaMichele,레아 미셀,레아미셀,래아 미셸,레아 미셸,리아 미셸",
수정,Lele Pons ," Lele Pons,LelePons,렐레 폰스,렐레 폰즈,렐래 폰스,렐래 폰즈,랠레 폰스,랠레 폰즈,랠래 폰스,랠래 폰즈",
수정,Leon Bridges ," Leon Bridges,LeonBridges,리온 브릿지스,레온 브릿지스,래온 브릿지스",
수정,Mabel ," Mabel,메이블",
수정,Macklemore ,"Macklemore,맥클모어,멕클모어,매클모어",
수정,Maren Morris ," Maren Morris,MarenMorris,마렌 모리스,마렌모리스,매런 모리스",
수정,Martin Garrix ," Martin Garrix,MartinGarrix,마틴 개릭스,마틴개릭스,마틴 게릭스",
수정,Martin Solveig ," Martin Solveig,MartinSolveig,마르탱 솔베이그,마틴 솔배이그,마틴 솔베이그",
수정,Meduza ," Meduza,메두자,메두사",
수정,Nathan Dawe ," Nathan Dawe,NathanDawe,네이선 다웨,네이선다웨,나단 다웨",
수정,Niall Horan ," Niall Horan,NiallHoran,나일 호런,나일호런,나일 호란,나일 호란",
수정,Osshun Gum ," Osshun Gum,OsshunGum,오션검,최하민",
수정,Post Malone ," Post Malone,PostMalone,포스트 말론",
수정,Rag'n'Bone Man ," Rag'n'Bone Man,RagnBoneMan,레그 앤 본 맨,레그앤본맨,렉 앤 본 맨,렉앤본맨,랙 앤 본 맨,랙앤본맨",
수정,RedVelvet ," RedVelvet,Red Velvet,레드벨벳",
수정,Sarah Barrios ," Sarah Barrios,SarahBarrios,사라 바리오스,사라바리오스,사라 베리오스,사라 배리오스",
수정,Shawn Mendes ," Shawn Mendes,ShawnMendes,숀 멘데스,숀멘데스,션 멘데스",
수정,SIXC ," SIXC,식스크레이지,6 crazy,6crazy,씩스씨",
수정,Sofia Carson ," Sofia Carson,SofiaCarson,소피아 카르슨,소피아 카슨",
수정,Summer Walker ," Summer Walker,SummerWalker,서머워커,서머 워커,썸머 워커,써머 워커",
수정,SUPER JUNIOR-D&E ," SUPER JUNIOR-D&E,SUPER JUNIOR D&E,슈퍼 주니어 디앤이",
수정,Twenty One Pilots ," Twenty One Pilots,TwentyOnePilots,21파일롯,21pilots,21 pilots,트웬티 원 파일럿츠",
수정,Ty Dolla $ign ," Ty Dolla $ign,TyDolla$ign,타이 달라 사인,타이달라사인",
수정,Victoria Mont ," Victoria Mont,,VictoriaMont,,Victoria Monet,,VictoriaMonet,빅토리아 모네,빅토리아모네",
수정,VIZE ," VIZE,바이즈",
수정,Whitney Houston ," Whitney Houston,WhitneyHouston,휘트니 휴스턴,휘트니 휴스턴",
